iter	Logloss
0	0.6815237767
1	0.6703218134
2	0.6591492178
3	0.6484541721
4	0.6384921231
5	0.629963011
6	0.6223655713
7	0.6146164539
8	0.6070301769
9	0.5993712708
10	0.5922233546
11	0.5858963947
12	0.5789225771
13	0.5730022149
14	0.5682702656
15	0.5631047942
16	0.5583282423
17	0.5544759849
18	0.5494463335
19	0.5455959446
20	0.5416179759
21	0.5374460744
22	0.5340486583
23	0.5302868997
24	0.5272829544
25	0.5239334466
26	0.5198902268
27	0.5174112125
28	0.5146356939
29	0.5122051628
30	0.5095155437
31	0.5063982953
32	0.5040071928
33	0.5017334655
34	0.4994478091
35	0.4978027823
36	0.4956501193
37	0.4938737279
38	0.4919825484
39	0.4902572752
40	0.4882172445
41	0.4867707017
42	0.4847108371
43	0.4831715918
44	0.4820270149
45	0.4804229497
46	0.4786830645
47	0.4777269109
48	0.4759433812
49	0.4747230135
50	0.473469062
51	0.47221535
52	0.4712229299
53	0.4699236572
54	0.4687679177
55	0.4673814519
56	0.4662998744
57	0.4653285819
58	0.4642344524
59	0.4632277556
60	0.4623265528
61	0.4614153852
62	0.4606012796
63	0.4595563999
64	0.4584043973
65	0.4575881359
66	0.4567163967
67	0.4559598291
68	0.4550121074
69	0.4543480506
70	0.4534272055
71	0.4522666751
72	0.4517702495
73	0.4511221462
74	0.4505108365
75	0.4497760192
76	0.4490674556
77	0.448449822
78	0.4477141424
79	0.4468825503
80	0.4463451631
81	0.4457317933
82	0.4450281164
83	0.4444006137
84	0.4437259213
85	0.4433681901
86	0.4428425404
87	0.442296338
88	0.4417826175
89	0.4410815276
90	0.4404183811
91	0.4399918058
92	0.439436932
93	0.4385789904
94	0.437827501
95	0.4371442331
96	0.436647999
97	0.4361438602
98	0.4355252205
99	0.4350080026
100	0.4346769084
101	0.4343251179
102	0.4337459067
103	0.4332868016
104	0.4328457579
105	0.4322204111
106	0.4316987857
107	0.4314019459
108	0.4307942293
109	0.4302614892
110	0.4297930899
111	0.4295398467
112	0.429199075
113	0.4286834861
114	0.4282423466
115	0.4277221105
116	0.42749148
117	0.4271056267
118	0.4268862067
119	0.4265380093
120	0.4261517248
121	0.4257765071
122	0.4254361666
123	0.4250729739
124	0.4247605161
125	0.4244227626
126	0.4239845935
127	0.4236691653
128	0.4232100602
129	0.4229606976
130	0.4224846329
131	0.4221924403
132	0.421891193
133	0.4215776812
134	0.4212588994
135	0.4207824515
136	0.4204174862
137	0.4200495985
138	0.4196966102
139	0.419447056
140	0.4191268849
141	0.4188692821
142	0.4184668524
143	0.4182281255
144	0.4179576353
145	0.417534653
146	0.4170633792
147	0.4166390555
148	0.4162661374
149	0.4159593807
150	0.4155728087
151	0.4152860776
152	0.4147787289
153	0.4143686339
154	0.4139185835
155	0.4134714555
156	0.4131742804
157	0.4129614718
158	0.4126347373
159	0.4122670412
160	0.411808511
161	0.4114150402
162	0.4110275101
163	0.4108283074
164	0.4105186762
165	0.4102352029
166	0.410009459
167	0.4097371962
168	0.4093552235
169	0.4091987071
170	0.4090271954
171	0.40887226
172	0.4084543561
173	0.4081629779
174	0.4078962245
175	0.4076244408
176	0.4072878851
177	0.4069655103
178	0.4067682718
179	0.4065561339
180	0.4062253751
181	0.4060630619
182	0.4058013389
183	0.4055477124
184	0.4052533639
185	0.4049889581
186	0.4046608342
187	0.4043283987
188	0.4039910285
189	0.4036593594
190	0.4033897316
191	0.4031686349
192	0.4029127567
193	0.4024757373
194	0.4021723821
195	0.4018060034
196	0.4014468111
197	0.4012857434
198	0.4009668419
199	0.4007840478
200	0.4005835996
201	0.400261608
202	0.4000773527
203	0.3998581244
204	0.3994886797
205	0.3991665922
206	0.3989322968
207	0.3986339719
208	0.3985131232
209	0.3981848077
210	0.3979655315
211	0.397771479
212	0.3975050131
213	0.3972508118
214	0.3970198699
215	0.3967939583
216	0.3964639182
217	0.3960989049
218	0.3958717957
219	0.3955770639
220	0.3954027496
221	0.3950924956
222	0.394863997
223	0.3945912072
224	0.3944609206
225	0.3941579486
226	0.3939773344
227	0.3937766705
228	0.3935337755
229	0.3931833025
230	0.3930550759
231	0.3928176664
232	0.3925927849
233	0.3922972148
234	0.3920511578
235	0.391838996
236	0.3916036226
237	0.3915237594
238	0.3913742856
239	0.3912426815
240	0.3910112845
241	0.3907894691
242	0.3906288806
243	0.3904448648
244	0.3902842763
245	0.3900567359
246	0.3898608149
247	0.389607931
248	0.389459583
249	0.3891291117
250	0.3888671492
251	0.3887297003
252	0.3885498286
253	0.3884155417
254	0.3882327237
255	0.3880171364
256	0.3877404421
257	0.3873188252
258	0.38706036
259	0.3869604233
260	0.3866081777
261	0.3862484823
262	0.3861180759
263	0.3858647369
264	0.385673487
265	0.3853890555
266	0.3850986594
267	0.384974074
268	0.3848531295
269	0.3845828788
270	0.3843953898
271	0.3842890813
272	0.3840908128
273	0.3838507205
274	0.3837409865
275	0.3835417599
276	0.3834292952
277	0.3831913587
278	0.382897106
279	0.3826542829
280	0.3824862925
281	0.3821786255
282	0.3818939065
283	0.3817299404
284	0.3814854884
285	0.3813344336
286	0.3811271584
287	0.380958114
288	0.3807232676
289	0.3805536243
290	0.3804478668
291	0.3802867752
292	0.3801735918
293	0.3800047151
294	0.3798246997
295	0.379668399
296	0.3794971268
297	0.3793427903
298	0.3791864895
299	0.3789984495
300	0.3788048042
301	0.3785875641
302	0.3783838581
303	0.3782396302
304	0.3780769336
305	0.377816576
306	0.3774769063
307	0.3773071433
308	0.3771428418
309	0.3770124834
310	0.3766478055
311	0.376456891
312	0.3762564427
313	0.3759603935
314	0.3757718025
315	0.3756081478
316	0.3753932073
317	0.3752854615
318	0.3751382154
319	0.3748831038
320	0.3747307075
321	0.3745359124
322	0.374410249
323	0.3741902542
324	0.3739853265
325	0.3738863719
326	0.3736925829
327	0.3735009737
328	0.373426644
329	0.3732772899
330	0.3731302833
331	0.3729279666
332	0.3727229671
333	0.372518255
334	0.3722199301
335	0.3720832956
336	0.3719408643
337	0.3717020415
338	0.3716348741
339	0.3713495802
340	0.3710736285
341	0.3709024522
342	0.3705445294
343	0.370318546
344	0.37012423
345	0.3699259616
346	0.3697934952
347	0.3696352781
348	0.3694755997
349	0.3693085915
350	0.3691501348
351	0.3689926842
352	0.3687975538
353	0.3685959078
354	0.3682913309
355	0.3679963116
356	0.3678459754
357	0.3676465572
358	0.3674178909
359	0.3672593145
360	0.3670864375
361	0.3668527888
362	0.3666798159
363	0.3664767327
364	0.3663168388
365	0.3660641705
366	0.3659388903
367	0.3658291564
368	0.3656677294
369	0.3654854623
370	0.3653390786
371	0.3652450585
372	0.3650356993
373	0.3648191539
374	0.3646833578
375	0.3645353931
376	0.3643595218
377	0.3640923852
378	0.363857443
379	0.3637373848
380	0.3636320105
381	0.3634797819
382	0.3632641947
383	0.3630642255
384	0.3629190634
385	0.3627438148
386	0.3625911311
387	0.362368166
388	0.3621407453
389	0.3619769948
390	0.3616542367
391	0.3614736704
392	0.3613414914
393	0.3612044498
394	0.3610662583
395	0.3609140058
396	0.3607763413
