iter	Logloss
0	0.6818899397
1	0.6736675364
2	0.6624220245
3	0.6511455159
4	0.6398233027
5	0.6323540177
6	0.6253314774
7	0.6172588833
8	0.6095765023
9	0.6012345199
10	0.5958808168
11	0.5903495178
12	0.5827075234
13	0.5758179765
14	0.5701182319
15	0.5646267446
16	0.5599909473
17	0.5565800689
18	0.5527303986
19	0.5485881524
20	0.5457599346
21	0.54175164
22	0.5389549938
23	0.5341472536
24	0.5310060031
25	0.5267234335
26	0.5228631276
27	0.5190986861
28	0.5163763936
29	0.512577506
30	0.5106278783
31	0.5084565311
32	0.5055769077
33	0.5023132037
34	0.5000260142
35	0.4980293406
36	0.4957817233
37	0.4939170849
38	0.4913328641
39	0.4894920361
40	0.487461635
41	0.4855323684
42	0.4838607046
43	0.4822229598
44	0.4801512139
45	0.4786902986
46	0.476741677
47	0.475802962
48	0.4743526824
49	0.472713213
50	0.4715682528
51	0.4705069406
52	0.4690328026
53	0.4680898717
54	0.4669543016
55	0.465189552
56	0.4644076888
57	0.46316696
58	0.4617752722
59	0.4604470629
60	0.4593015758
61	0.4583788143
62	0.4575431979
63	0.4559627994
64	0.4548501774
65	0.4534205941
66	0.452447481
67	0.4512459412
68	0.4499799648
69	0.449282468
70	0.4485983856
71	0.4473778262
72	0.446342624
73	0.4455295245
74	0.4449320124
75	0.4443411116
76	0.443441921
77	0.4429109534
78	0.4420812298
79	0.4410554176
80	0.4405308219
81	0.4399802599
82	0.4394737256
83	0.4387801094
84	0.4382549388
85	0.4373982907
86	0.436576999
87	0.4354698385
88	0.4347572506
89	0.4339529663
90	0.4335713289
91	0.4329185306
92	0.4322285555
93	0.4316183956
94	0.430935942
95	0.430050549
96	0.4296245485
97	0.4290675668
98	0.428596293
99	0.4277521969
100	0.4272279844
101	0.4267394157
102	0.4262533382
103	0.4257633323
104	0.4248832571
105	0.4242399925
106	0.423640612
107	0.4231160641
108	0.422704005
109	0.4222980781
110	0.4219138057
111	0.4215406002
112	0.421059601
113	0.4207133678
114	0.4204051738
115	0.4200519939
116	0.4196614456
117	0.4192380321
118	0.4189205918
119	0.4185066163
120	0.4180863648
121	0.4177219265
122	0.4174097561
123	0.4166643032
124	0.416357786
125	0.4160171102
126	0.4156626847
127	0.4152842092
128	0.4147778186
129	0.414217627
130	0.4137658519
131	0.4131779214
132	0.4127594904
133	0.4123978308
134	0.4120427825
135	0.4116004453
136	0.4111595932
137	0.4108587771
138	0.4106050548
139	0.4102245672
140	0.4099737673
141	0.4095610375
142	0.4091597097
143	0.4085273683
144	0.4081785001
145	0.4078996739
146	0.4073857138
147	0.407167779
148	0.4066073
149	0.4062692591
150	0.4058997904
151	0.4055604081
152	0.4052515913
153	0.4049826821
154	0.4046073207
155	0.4043075106
156	0.4038192294
157	0.4034270043
158	0.4031477948
159	0.4027812964
160	0.4024099593
161	0.4020205607
162	0.4014927551
163	0.4012234626
164	0.4008718877
165	0.4004899868
166	0.4001280636
167	0.3998694787
168	0.3995356777
169	0.3992297354
170	0.3986922763
171	0.3983543312
172	0.3980694685
173	0.3977018204
174	0.3974883171
175	0.397215695
176	0.3969806809
177	0.3966246505
178	0.3963667602
179	0.396152131
180	0.3959008042
181	0.3956282539
182	0.3953112208
183	0.3949469262
184	0.3947091095
185	0.3943335325
186	0.3939683755
187	0.3936568519
188	0.3931885484
189	0.3928730245
190	0.3926983748
191	0.3923812699
192	0.391948131
193	0.3915587804
194	0.3913011057
195	0.3908965202
196	0.3906874724
197	0.3904293186
198	0.3902316251
199	0.3898056485
200	0.3896132968
201	0.3894710571
202	0.3892326894
203	0.3889624867
204	0.388789394
205	0.3885333003
206	0.3883208989
207	0.3880654519
208	0.3878026271
209	0.3875789193
210	0.3871628598
211	0.3868512643
212	0.386532243
213	0.3863947223
214	0.3860394584
215	0.38585894
216	0.3856079006
217	0.3853555916
218	0.3851006476
219	0.3847105544
220	0.384480954
221	0.3843385705
222	0.3841598726
223	0.3839504655
224	0.3837738756
225	0.383460244
226	0.3833456953
227	0.3829949827
228	0.3825943017
229	0.3823241708
230	0.3821787692
231	0.3818568974
232	0.3816378128
233	0.3814055055
234	0.3811014077
235	0.3807834643
236	0.3805236816
237	0.3802954466
238	0.3801304504
239	0.3799536209
240	0.3796906524
241	0.3793918005
242	0.3790936672
243	0.3788478738
244	0.378742212
245	0.3784224242
246	0.3782305036
247	0.3778554776
248	0.3775450079
249	0.3773468353
250	0.3771212352
251	0.376820946
252	0.3767195721
253	0.3765282504
254	0.3763084232
255	0.3759787184
256	0.3757921156
257	0.3755188228
258	0.3753944768
259	0.3752952109
260	0.3751026675
261	0.3749292155
262	0.3747014835
263	0.3745428591
264	0.3742563676
265	0.3740561828
266	0.3737868185
267	0.3736212714
268	0.3733644111
269	0.3730241425
270	0.3728848013
271	0.3726878024
272	0.3724629449
273	0.3722054618
274	0.3720100439
275	0.371712773
276	0.3714804657
277	0.3712045619
278	0.371066059
279	0.3707502715
280	0.3705221083
281	0.3702698712
282	0.3701296437
283	0.3698778856
284	0.3697054397
285	0.3694498969
286	0.3692280576
287	0.3690414548
288	0.3688720511
289	0.3687468668
290	0.3685355194
291	0.3682994513
292	0.3679539368
293	0.3678328486
294	0.3675158155
295	0.3673528315
296	0.3672294437
297	0.3669199801
298	0.366713208
299	0.3666270928
300	0.3664787448
301	0.3664213986
302	0.3661592205
303	0.3659840199
304	0.365610455
305	0.3654042099
306	0.3650747925
307	0.3648847403
308	0.3646473308
309	0.3643067029
310	0.3640952118
311	0.363954601
312	0.3638343272
313	0.3635282172
314	0.3633469083
315	0.3631878288
316	0.3629599531
317	0.3627273823
318	0.3626274217
319	0.3624547363
320	0.3622921116
321	0.3620349159
322	0.3617708455
323	0.3614996127
324	0.3612784441
325	0.3611031477
326	0.3609511347
327	0.3607487701
328	0.3605127739
329	0.3603196795
